year,month,day,rainfall
2024,1,1,0.0 
2024,1,2,0.0 
2024,1,3,1.4 
2024,1,4,0.0 
2024,1,5,0.0 
2024,1,6,0.5 
2024,1,7,0.0 
2024,1,8,0.0 
2024,1,9,4.0 
2024,1,10,0.5 
2024,1,11,0.0 
2024,1,12,0.0 
2024,1,13,0.0 
2024,1,14,4.9 
2024,1,15,0.0 
2024,1,16,0.0 
2024,1,17,6.8 
2024,1,18,18.1 
2024,1,19,0.1 
2024,1,20,16.9 
2024,1,21,1.1 
2024,1,22,0.3 
2024,1,23,0.0 
2024,1,24,0.0 
2024,1,25,0.0 
2024,1,26,0.0 
2024,1,27,0.0 
2024,1,28,0.0 
2024,1,29,0.0 
2024,1,30,0.0 
2024,1,31,0.0 
2024,2,1,0.0 
2024,2,2,0.0 
2024,2,3,2.5 
2024,2,4,3.3 
2024,2,5,17.5 
2024,2,6,0.8 
2024,2,7,0.0 
2024,2,8,0.0 
2024,2,9,0.0 
2024,2,10,0.0 
2024,2,11,0.0 
2024,2,12,0.0 
2024,2,13,0.0 
2024,2,14,0.6 
2024,2,15,2.1 
2024,2,16,0.0 
2024,2,17,0.0 
2024,2,18,16.4 
2024,2,19,36.7 
2024,2,20,5.2 
2024,2,21,14.3 
2024,2,22,4.7 
2024,2,23,1.6 
2024,2,24,5.6 
2024,2,25,1.9 
2024,2,26,0.0 
2024,2,27,0.0 
2024,2,28,0.0 
2024,2,29,0.2 
2024,3,1,0.0 
2024,3,2,0.0 
2024,3,3,1.0 
2024,3,4,0.0 
2024,3,5,4.8 
2024,3,6,0.0 
2024,3,7,0.0 
2024,3,8,0.0 
2024,3,9,0.0 
2024,3,10,0.0 
2024,3,11,0.0 
2024,3,12,0.2 
2024,3,13,0.0 
2024,3,14,0.0 
2024,3,15,0.0 
2024,3,16,0.0 
2024,3,17,0.0 
2024,3,18,0.0 
2024,3,19,0.4 
2024,3,20,0.0 
2024,3,21,0.0 
2024,3,22,0.0 
2024,3,23,0.0 
2024,3,24,0.0 
2024,3,25,14.3 
2024,3,26,27.9 
2024,3,27,0.0 
2024,3,28,29.1 
2024,3,29,0.0 
2024,3,30,1.9 
2024,3,31,0.0 
2024,4,1,0.0 
2024,4,2,2.9 
2024,4,3,27.7 
2024,4,4,6.4 
2024,4,5,0.9 
2024,4,6,0.0 
2024,4,7,0.0 
2024,4,8,0.0 
2024,4,9,0.0 
2024,4,10,0.0 
2024,4,11,0.0 
2024,4,12,0.0 
2024,4,13,0.0 
2024,4,14,0.0 
2024,4,15,4.8 
2024,4,16,0.0 
2024,4,17,0.0 
2024,4,18,0.0 
2024,4,19,0.0 
2024,4,20,4.7 
2024,4,21,0.0 
2024,4,22,0.4 
2024,4,23,0.4 
2024,4,24,4.5 
2024,4,25,0.0 
2024,4,26,0.0 
2024,4,27,0.0 
2024,4,28,0.0 
2024,4,29,0.5 
2024,4,30,0.2 
2024,5,1,14.0 
2024,5,2,0.0 
2024,5,3,0.0 
2024,5,4,0.1 
2024,5,5,42.5 
2024,5,6,4.3 
2024,5,7,12.9 
2024,5,8,2.3 
2024,5,9,0.0 
2024,5,10,0.0 
2024,5,11,18.3 
2024,5,12,3.1 
2024,5,13,0.0 
2024,5,14,0.0 
2024,5,15,10.1 
2024,5,16,0.6 
2024,5,17,0.0 
2024,5,18,0.0 
2024,5,19,0.0 
2024,5,20,0.0 
2024,5,21,0.0 
2024,5,22,0.0 
2024,5,23,0.0 
2024,5,24,0.0 
2024,5,25,0.0 
2024,5,26,5.5 
2024,5,27,0.0 
2024,5,28,0.0 
2024,5,29,0.0 
2024,5,30,0.0 
2024,5,31,0.0 
2024,6,1,0.0 
2024,6,2,0.0 
2024,6,3,9.4 
2024,6,4,0.0 
2024,6,5,0.0 
2024,6,6,0.0 
2024,6,7,0.0 
2024,6,8,4.7 
2024,6,9,0.0 
2024,6,10,0.0 
2024,6,11,0.0 
2024,6,12,0.0 
2024,6,13,0.0 
2024,6,14,0.0 
2024,6,15,0.0 
2024,6,16,0.0 
2024,6,17,0.0 
2024,6,18,0.0 
2024,6,19,0.0 
2024,6,20,0.0 
2024,6,21,0.0 
2024,6,22,12.7 
2024,6,23,2.2 
2024,6,24,0.0 
2024,6,25,0.0 
2024,6,26,0.0 
2024,6,27,0.0 
2024,6,28,0.0 
2024,6,29,35.8 
2024,6,30,37.1 
2024,7,1,1.2 
2024,7,2,11.5 
2024,7,3,25.2 
2024,7,4,0.0 
2024,7,5,6.9 
2024,7,6,0.0 
2024,7,7,11.7 
2024,7,8,35.8 
2024,7,9,84.5 
2024,7,10,72.9 
2024,7,11,0.0 
2024,7,12,0.0 
2024,7,13,0.0 
2024,7,14,0.0 
2024,7,15,7.7 
2024,7,16,2.1 
2024,7,17,0.0 
2024,7,18,34.7 
2024,7,19,1.9 
2024,7,20,33.7 
2024,7,21,8.5 
2024,7,22,0.0 
2024,7,23,0.0 
2024,7,24,42.0 
2024,7,25,0.0 
2024,7,26,3.6 
2024,7,27,14.4 
2024,7,28,0.0 
2024,7,29,0.0 
2024,7,30,0.0 
2024,7,31,0.0 
2024,8,1,0.0 
2024,8,2,0.0 
2024,8,3,1.9 
2024,8,4,0.0 
2024,8,5,25.1 
2024,8,6,0.0 
2024,8,7,0.0 
2024,8,8,2.0 
2024,8,9,0.0 
2024,8,10,0.0 
2024,8,11,0.0 
2024,8,12,0.0 
2024,8,13,0.0 
2024,8,14,0.0 
2024,8,15,27.5 
2024,8,16,17.1 
2024,8,17,31.9 
2024,8,18,4.5 
2024,8,19,0.3 
2024,8,20,0.1 
2024,8,21,18.1 
2024,8,22,0.6 
2024,8,23,0.0 
2024,8,24,0.0 
2024,8,25,0.0 
2024,8,26,0.0 
2024,8,27,0.0 
2024,8,28,0.0 
2024,8,29,0.0 
2024,8,30,0.0 
2024,8,31,0.0 
2024,9,1,0.0 
2024,9,2,0.0 
2024,9,3,1.0 
2024,9,4,0.0 
2024,9,5,0.5 
2024,9,6,0.0 
2024,9,7,0.6 
2024,9,8,0.0 
2024,9,9,0.0 
2024,9,10,0.0 
2024,9,11,14.4 
2024,9,12,5.0 
2024,9,13,0.0 
2024,9,14,0.0 
2024,9,15,0.4 
2024,9,16,0.0 
2024,9,17,0.0 
2024,9,18,18.9 
2024,9,19,0.0 
2024,9,20,29.3 
2024,9,21,114.7 
2024,9,22,0.2 
2024,9,23,0.0 
2024,9,24,0.0 
2024,9,25,0.0 
2024,9,26,0.0 
2024,9,27,0.0 
2024,9,28,0.0 
2024,9,29,0.0 
2024,9,30,0.0 
2024,10,1,3.7 
2024,10,2,0.0 
2024,10,3,7.4 
2024,10,4,0.0 
2024,10,5,0.0 
2024,10,6,0.3 
2024,10,7,4.7 
2024,10,8,0.0 
2024,10,9,0.0 
2024,10,10,0.1 
2024,10,11,0.0 
2024,10,12,0.0 
2024,10,13,0.0 
2024,10,14,6.4 
2024,10,15,2.0 
2024,10,16,0.0 
2024,10,17,0.0 
2024,10,18,6.6 
2024,10,19,11.8 
2024,10,20,0.0 
2024,10,21,3.7 
2024,10,22,28.8 
2024,10,23,2.9 
2024,10,24,0.0 
2024,10,25,0.0 
2024,10,26,0.0 
2024,10,27,1.8 
2024,10,28,0.0 
2024,10,29,0.0 
2024,10,30,0.0 
2024,10,31,0.0 
2024,11,1,4.3 
2024,11,2,0.3 
2024,11,3,0.0 
2024,11,4,0.4 
2024,11,5,0.0 
2024,11,6,0.0 
2024,11,7,0.0 
2024,11,8,0.0 
2024,11,9,0.0 
2024,11,10,0.0 
2024,11,11,0.0 
2024,11,12,0.0 
2024,11,13,0.0 
2024,11,14,0.2 
2024,11,15,0.1 
2024,11,16,0.7 
2024,11,17,0.0 
2024,11,18,0.0 
2024,11,19,0.0 
2024,11,20,0.0 
2024,11,21,0.0 
2024,11,22,0.0 
2024,11,23,0.0 
2024,11,24,0.0 
2024,11,25,0.6 
2024,11,26,15.7 
2024,11,27,4.8 
2024,11,28,3.3 
2024,11,29,4.0 
2024,11,30,0.0 
2024,12,1,0.6 
2024,12,2,0.0 
2024,12,3,0.0 
2024,12,4,0.0 
2024,12,5,2.1 
2024,12,6,0.4 
2024,12,7,0.0 
2024,12,8,0.0 
2024,12,9,0.0 
2024,12,10,0.0 
2024,12,11,0.0 
2024,12,12,0.0 
2024,12,13,0.6 
2024,12,14,0.9 
2024,12,15,1.3 
2024,12,16,1.1 
2024,12,17,0.0 
2024,12,18,0.0 
2024,12,19,0.0 
2024,12,20,0.0 
2024,12,21,4.5 
2024,12,22,0.0 
2024,12,23,0.0 
2024,12,24,0.0 
2024,12,25,0.0 
2024,12,26,0.4 
2024,12,27,1.7 
2024,12,28,0.6 
2024,12,29,0.0 
2024,12,30,0.0 
2024,12,31,0.1 
